,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-02-01,2024-02-01,2024-02-01,2024-03-01,2024-03-01,2024-03-01,2024-04-01,2024-04-01,2024-04-01,2024-05-01,2024-05-01,2024-05-01,2024-06-01,2024-06-01,2024-06-01,2024-06-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-08-01,2024-08-01,2024-08-01,2024-08-01,2024-09-01,2024-09-01,2024-09-01,2024-09-01,2024-10-01,2024-10-01,2024-10-01,2024-10-01,2024-11-01,2024-11-01,2024-11-01,2024-11-01,2024-12-01,2024-12-01,2024-12-01,2024-12-01
Gastos manejo y emision de bonos,0,0,,,0,0,,0,0,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,0,,,,0,,
otros,28513,,28513,,26993,,55506,26993,,82499,30033,,112532,26993,,139525,41341,,180866,,30033,,210899,,28513,,239412,,,,239412,,28513,,267925,,26993.1,,294918.1,,30053,,324971.1,
Gastos extraordinarios,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Impuestos asumidos,,0,,,,0,,,0,,,0,,,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
Industria y comercio ,,,,,,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
Gastos Diversos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otros ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Ingresos :,,7389490,7389490,,,8720667,8720667,,12280462,12280462,,17607136,17607136,,12093995,12093995,,8411424,8411424,,,6302884,6302884,,,15173848,15173848,,,14486836,14486836,,,16134322,16134322,,1544330,14740973,14740973,,,14435564,14435564,
TOTAL INGRESOS OPERATIVOS(RESTANDO ARRIENDOS),,7389490,7389490,,,8720667,8720667,,12280462,12280462,,17607136,17607136,,12093995,29701131,,8411424,8411424,,,6302884,6302884,,,15173848,15173848,,,14486836,14486836,,,16134322,16134322,,1544330,14740973,14740973,,,14435564,14435564,
Total Egresos :,9947041,0,9947041,,13136716,0,23083757,11222287.82,0,34306044.82,13880419,0,48186463.82,12971414,0,61157877.82,10918657,0,72076534.82,,11152404,0,11152404,,11530628,0,11530628,-4590952,14014468,0,9423516,,14110605,0,14110605,,13629188.1,0,27739793.1,,14343828,0,42083621.1,
UTILIDADES ACUMULADAS,9947041,7389490,-2557551,,13136716,8720667,-4416049,11222287.82,12280462,1058174.1799999997,13880419,17607136,3726717,12971414,12093995,-877419,10918657,8411424,-2507233,,11152404,6302884,-4849520,,11530628,15173848,3643220,UTILIDAD ACUMULADA DEL CUATRIMESTRE,14014468,14486836,472368,,14110605,16134322,2023717,,13629188.1,14740973,1111784.9000000004,,14343828,14435564,91736,
UTILIDAD MENSUAL ,ENERO,ENERO,-2557551,,FEBRERO ,FEBRERO ,-4416049,MARZO ,MARZO ,1058174.1799999997,ABRIL ,ABRIL ,3726717,MAYO,MAYO,-877419,JUNIO ,JUNIO ,-2507233,,JULIO,JULIO,-4849520,,,AGOSTO,3643220,,SEPTIEMBRE,SEPTIEMBRE,472368,,OCTUBRE,OCTUBRE,2023717,,NOVIEMBRE,NOVIEMBRE,1111784.9000000004,,DICIEMBRE,DICIEMBRE,91736,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTILIDAD O PERDIDA ACUMULADA ,ENERO,ENERO,-2557551,,FEBRERO ,FEBRERO ,-6973600,MARZO ,MARZO ,-5915425.82,ABRIL ,ABRIL ,-2188708.8200000003,MAYO,MAYO,-3066127.8200000003,JUNIO ,JUNIO ,-5573360.82,,JULIO,JULIO,-10422880.82,,AGOSTO,AGOSTO,-6779660.82,,SEPTIEMBRE,SEPTIEMBRE,-6307292.82,,OCTUBRE,OCTUBRE,-4283575.82,,NOVIEMBRE,NOVIEMBRE,-3171790.92,,DICIEMBRE,DICIEMBRE,-3080054.92,
