EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530515,Comisiones,80700,0,80700,,17213,0,97913,203979,,301892,89700,,391592,89700,,481292,,,481292,,102300,,583592,,93900,,677492,,98100,,775592,,98100,,873692,,98100,,971792,,119100,,1090892,
530520,Intereses,2100,,2100,,,,2100,,,2100,,,2100,,,2100,16502,,18602,,7000,,25602,,,,25602,,5000,,30602,,,,30602,,18200,,48802,,4200,,53002,
530525,4 X MIL,21519,0,21519,,32759,0,54278,23981,,78259,15926,,94185,19915,,114100,0,,114100,,29260,,143360,,20573,,163933,,31569,,195502,,16776,,212278,,26586,,238864,,49170,,288034,
530535,Descuentos comerciales condicionados,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,
530540,Gastos manejo y emision de bonos,0,0,,,0,0,,0,0,,0,0,,,0,,,0,,,,0,,,,0,,,0,0,,,0,0,,,,0,,,0,0,,
530595,otros,32333,,32333,,20270,,52603,35639,,88242,34043,,122285,34043,,156328,115343,,271671,,36937,,308608,,35341,,343949,,36139,,380088,,36139,,416227,,37029,,453256,,41019,,494275,
5315,Gastos extraordinarios,,0,,,,0,,,0,,24000,0,24000,,0,24000,,0,24000,,,0,24000,,68631,0,92631,,,0,92631,,321,0,92952,,,0,92952,,,0,92952,
531520,Impuestos asumidos,,0,,,,0,,,0,,,0,,,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
531525,Industria y comercio ,,,,,,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
5395,Gastos Diversos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539520,Intereses,,,,,,,,,,,24000,,,,,,,,,,,,,,68631,,68631,,,,,,,,,,,,,,,,,
539535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539595,Otros ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,,321,,,,321,,,,321,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Ingresos :,,3650160,3650160,,,8194444,8194444,,15949913,15949913,,8100964,8100964,,18412486,18412486,,13297291,13297291,,,14522346,14522346,,,19706466,19706466,,,12601267,12601267,,,13432176,13432176,,,11210209,11210209,,,24004695,24004695,
,TOTAL INGRESOS OPERATIVOS(RESTANDO ARRIENDOS),,3650160,3650160,,,8194444,8194444,,15949913,15949913,,8100964,8100964,,18412486,26513450,,13297291,13297291,,,14522346,14522346,,,19706466,19706466,,,12601267,12601267,,,13432176,13432176,,,11210209,11210209,,,24004695,24004695,
,Total Egresos :,10157985,0,10157985,,12636419,0,22794404,15699505,0,38493909,13845188,0,52339097,16159541,0,68498638,13183791,0,81682429,,13164418,0,13164418,,12998509,0,12998509,,15385036,0,15385036,,15449005,0,15449005,,16781585,0,32230590,,13081786,0,45312376,
,UTILIDADES ACUMULADAS,10157985,3650160,-6507825,,12636419,8194444,-10949800,15699505,15949913,-10699392,13845188,8100964,-16443616,16159541,18412486,-14190671,14255311,13297291,-15148691,,13164418,14522346,-13790763,,12998509,19706466,-7082806,UTILIDAD ACUMULADA DEL CUATRIMESTRE,15385036,12601267,-9866575,,15449005,13432176,-11883404,,16781585,11210209,-17454780,,13081786,24004695,-6531871,UTILIDAD ACUMULADA DEL CUATRIMESTRE
,UTILIDAD MENSUAL ,ENERO,ENERO,-6507825,,FEBRERO ,FEBRERO ,-4441975,MARZO ,MARZO ,250408,ABRIL ,ABRIL ,-5744224,,MAYO,2252945,,JUNIO ,-958020,,,JULIO,1357928,,,AGOSTO,6707957,,,SEPT,-2783769,,,OCT,-2016829,,,NOV,-5571376,,,DICIEMBRE,10922909,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7082806,,,,,,,,,,,,,,,,-6531871,
